id,spec
562317142868,"{'腰型': '中腰', '裤门襟': '拉链', '款式细节': '五袋款', '裤长': '长裤', '款式版型': '修身小脚', '裤脚口款式': '小直脚', '细分风格': '日系复古', '工艺处理': '猫须手擦磨边刮烂针缝赤耳马骝做旧磨毛水洗', '洗水工艺': '水洗', '品牌': 'PLAYBOY/花花公子', '牛仔面料': '常规牛仔布', '货号': 'XL1717-299-2116', '弹力': '微弹', '基础风格': '青春流行', '上市年份季节': '2017年冬季', '厚薄': '常规', '销售渠道类型': '纯电商(只在线上销售)', '材质成分': '棉97%聚氨酯弹性纤维(氨纶)3%', '适用对象': '青年'}"
525006440959,"{'腰型': '中腰', '裤门襟': '拉链', '款式细节': '五袋款', '裤长': '长裤', '款式版型': '合体直筒', '裤脚口款式': '直脚', '细分风格': '商务休闲', '工艺处理': '压皱手擦水洗石磨', '洗水工艺': '水洗石洗/石磨酵素洗', '品牌': 'PLAYBOY/花花公子', '牛仔面料': '常规牛仔布', '货号': '17151013', '弹力': '微弹', '基础风格': '青春流行', '上市年份季节': '2015年冬季', '厚薄': '常规', '销售渠道类型': '商场同款(线上线下都销售)', '材质成分': '棉67.8%聚酯纤维30.65%聚氨酯弹性纤维(氨纶)1.55%', '适用对象': '青年'}"
581784302326,"{'腰型': '中腰', '款式细节': '立体剪裁', '裤长': '长裤', '款式版型': '修身小脚', '裤脚口款式': '小直脚', '细分风格': '潮', '工艺处理': '雪花洗水洗', '洗水工艺': '水洗', '品牌': 'JUEOLPENG/玖彭', '牛仔面料': '常规牛仔布', '货号': '#K186', '弹力': '微弹', '基础风格': '青春流行', '上市年份季节': '2018年冬季', '厚薄': '常规', '销售渠道类型': '纯电商(只在线上销售)', '材质成分': '棉75%聚酯纤维22%聚氨酯弹性纤维(氨纶)3%', '适用对象': '青少年'}"
583006119710,"{'腰型': '中腰', '裤门襟': '拉链', '款式细节': '多口袋', '裤长': '长裤', '款式版型': '修身小脚', '裤脚口款式': '铅笔裤', '细分风格': '潮', '工艺处理': '水洗', '洗水工艺': '水洗', '品牌': 'LOVESTRUCKSOULMATE', '牛仔面料': '加厚牛仔布', '货号': '8009', '弹力': '超高弹力', '基础风格': '青春流行', '上市年份季节': '2018年冬季', '厚薄': '常规', '销售渠道类型': '纯电商(只在线上销售)', '材质成分': '棉76.1%聚酯纤维22.8%聚氨酯弹性纤维(氨纶)1.1%', '适用对象': '青少年'}"
575432944562,"{'腰型': '中腰', '裤门襟': '拉链', '款式细节': '多口袋', '裤长': '长裤', '款式版型': '修身小脚', '裤脚口款式': '小直脚', '细分风格': '潮', '洗水工艺': '水洗', '品牌': 'Kuziman', '牛仔面料': '常规牛仔布', '货号': '18NZK0823', '弹力': '微弹', '基础风格': '青春流行', '上市年份季节': '2018年秋季', '厚薄': '常规', '材质成分': '棉99.2%聚氨酯弹性纤维(氨纶)0.8%', '适用对象': '青年'}"
574559750803,"{'腰型': '中腰', '裤门襟': '拉链', '裤长': '长裤', '款式版型': '修身小脚', '裤脚口款式': '小直脚', '细分风格': '潮', '工艺处理': '压皱漂白猫须水洗', '洗水工艺': '水洗石洗/石磨砂洗石漂洗', '品牌': 'PierreCardin/皮尔卡丹', '牛仔面料': '常规牛仔布', '货号': '203689-2018', '弹力': '微弹', '基础风格': '青春流行', '上市年份季节': '2018年秋季', '厚薄': '常规', '销售渠道类型': '纯电商(只在线上销售)', '材质成分': '棉99.1%聚氨酯弹性纤维(氨纶)0.9%', '适用对象': '青年'}"
571147166199,"{'腰型': '中腰', '裤门襟': '拉链', '款式细节': '立体剪裁', '裤长': '长裤', '款式版型': '修身小脚', '裤脚口款式': '小直脚', '细分风格': '潮', '工艺处理': '压皱猫须刮烂马骝磨毛水洗', '洗水工艺': '水洗', '品牌': 'PLAYBOY/花花公子', '牛仔面料': '棉弹牛仔布', '货号': 'XL-265', '弹力': '微弹', '基础风格': '青春流行', '上市年份季节': '2018年夏季', '厚薄': '常规', '销售渠道类型': '纯电商(只在线上销售)', '材质成分': '棉97%聚氨酯弹性纤维(氨纶)3%', '适用对象': '青年'}"
583460651467,"{'腰型': '中低腰', '裤门襟': '拉链', '款式细节': '多口袋', '裤长': '长裤', '款式版型': '修身小脚', '裤脚口款式': '小直脚', '细分风格': '欧美简约', '工艺处理': '压皱漂白猫须手擦水洗', '洗水工艺': '水洗', '品牌': 'PierreCardin/皮尔卡丹', '牛仔面料': '加绒牛仔布', '货号': 'HZ299A', '弹力': '微弹', '基础风格': '时尚都市', '上市年份季节': '2018年冬季', '厚薄': '加绒加厚', '销售渠道类型': '纯电商(只在线上销售)', '材质成分': '棉83.7%聚酯纤维13%粘胶纤维(粘纤)1.7%聚氨酯弹性纤维(氨纶)1.6%', '适用对象': '青年'}"
579471491905,"{'腰型': '中腰', '裤门襟': '拉链', '款式细节': '多口袋', '裤长': '长裤', '款式版型': '修身小脚', '裤脚口款式': '小直脚', '细分风格': '青春活力', '工艺处理': '猫须做旧水洗', '洗水工艺': '吊染', '品牌': 'MARCHISBON/马驰祥邦', '牛仔面料': '加绒牛仔布', '货号': 'JXBL-010', '弹力': '微弹', '基础风格': '青春流行', '上市年份季节': '2018年秋季', '厚薄': '加绒加厚', '销售渠道类型': '纯电商(只在线上销售)', '材质成分': '棉75%聚酯纤维22%粘胶纤维(粘纤)2%聚氨酯弹性纤维(氨纶)1%', '适用对象': '青年'}"
557165292812,"{'腰型': '中腰', '裤门襟': '拉链', '款式细节': '五袋款', '裤长': '长裤', '款式版型': '修身小脚', '裤脚口款式': '小直脚', '细分风格': '潮', '工艺处理': '猫须手擦马骝做旧水洗', '洗水工艺': '水洗', '品牌': 'WEIPAIWG/威牌王', '牛仔面料': '常规牛仔布', '货号': 'TN-754', '弹力': '微弹', '基础风格': '青春流行', '上市年份季节': '2017年秋季', '厚薄': '常规', '销售渠道类型': '纯电商(只在线上销售)', '材质成分': '棉70.8%聚酯纤维27.8%聚氨酯弹性纤维(氨纶)1.4%', '适用对象': '青少年'}"
549556165346,"{'腰型': '中腰', '裤门襟': '拉链', '款式细节': '立体剪裁', '裤长': '长裤', '款式版型': '修身小脚', '裤脚口款式': '铅笔裤', '细分风格': '潮', '工艺处理': '压皱漂白猫须破洞雪花洗手擦磨边刮烂电磨针缝喷砂赤耳马骝镶边无工艺扎花刺绣扎染做旧蜡染磨毛水洗吊染烫印石磨', '洗水工艺': '水洗石洗/石磨砂洗石漂洗漂染碧纹洗吊染雪花洗酵素洗化学洗', '品牌': '宝米卡', '牛仔面料': '薄牛仔布', '货号': 'A8012', '弹力': '微弹', '基础风格': '青春流行', '上市年份季节': '2017年夏季', '厚薄': '常规', '材质成分': '棉75%聚酯纤维23.6%聚氨酯弹性纤维(氨纶)1.4%', '适用对象': '青少年'}"
569443833044,"{'腰型': '中腰', '裤门襟': '拉链', '款式细节': '立体剪裁', '裤长': '长裤', '款式版型': '宽松直筒', '裤脚口款式': '直脚', '细分风格': '商务休闲', '工艺处理': '压皱水洗', '品牌': '南极人', '牛仔面料': '加厚牛仔布', '货号': 'N2L5F599821bZ', '弹力': '微弹', '基础风格': '时尚都市', '上市年份季节': '2018年夏季', '厚薄': '厚', '销售渠道类型': '纯电商(只在线上销售)', '材质成分': '棉73%聚酯纤维25.6%聚氨酯弹性纤维(氨纶)1.4%', '适用对象': '青年'}"
